institution,rank_2025,cycle,party,committee_type,total
Colorado St,148,2012,REP,P,750.0
Colorado St,148,2016,DEM,P,7350.0
Colorado St,148,2016,DEM,S,9575.0
Colorado St,148,2016,DEM,Y,11898.0
Colorado St,148,2016,REP,P,665.0
Colorado St,148,2016,REP,Y,500.0
Colorado St,148,2020,DEM,H,3883.0
Colorado St,148,2020,DEM,P,16171.0
Colorado St,148,2020,DEM,S,28262.0
Colorado St,148,2020,DEM,Y,13752.0
Colorado St,148,2020,REP,H,425.0
Colorado St,148,2020,REP,S,1652.0
Colorado St,148,2020,REP,Y,1916.0
Colorado St,148,2024,DEM,H,10117.0
Colorado St,148,2024,DEM,S,4957.0
Colorado St,148,2024,DEM,Y,12105.0
Colorado St,148,2024,REP,H,216.0
Colorado St,148,2024,REP,S,251.0
Colorado St,148,2024,REP,Y,970.0
Columbia,13,2008,DEM,H,25753.0
Columbia,13,2008,DEM,S,21050.0
Columbia,13,2008,DEM,Y,69449.0
Columbia,13,2008,REP,H,3250.0
Columbia,13,2008,REP,S,2000.0
Columbia,13,2008,REP,Y,26200.0
Columbia,13,2012,DEM,H,45450.0
Columbia,13,2012,DEM,S,78000.0
Columbia,13,2012,DEM,Y,115374.0
Columbia,13,2012,REP,H,1750.0
Columbia,13,2012,REP,S,2500.0
Columbia,13,2012,REP,Y,4200.0
Columbia,13,2016,DEM,H,57033.0
Columbia,13,2016,DEM,P,56503.0
Columbia,13,2016,DEM,S,101924.0
Columbia,13,2016,DEM,Y,157083.0
Columbia,13,2016,REP,H,5750.0
Columbia,13,2016,REP,P,5700.0
Columbia,13,2016,REP,S,1250.0
Columbia,13,2016,REP,Y,4375.0
Columbia,13,2020,DEM,H,150822.0
Columbia,13,2020,DEM,P,134901.0
Columbia,13,2020,DEM,S,385758.0
Columbia,13,2020,DEM,Y,312965.0
Columbia,13,2020,REP,H,3850.0
Columbia,13,2020,REP,P,750.0
Columbia,13,2020,REP,S,9100.0
Columbia,13,2020,REP,Y,8665.0
Columbia,13,2024,DEM,H,242521.0
Columbia,13,2024,DEM,P,10432.0
Columbia,13,2024,DEM,S,173628.0
Columbia,13,2024,DEM,Y,89925.0
Columbia,13,2024,REP,H,8550.0
Columbia,13,2024,REP,P,500.0
Columbia,13,2024,REP,S,50.0
Columbia,13,2024,REP,Y,29500.0
Connecticut,70,2008,DEM,H,4850.0
Connecticut,70,2008,DEM,Y,6150.0
Connecticut,70,2008,REP,Y,550.0
Connecticut,70,2012,DEM,H,4800.0
Connecticut,70,2012,DEM,S,37153.0
Connecticut,70,2012,DEM,Y,18750.0
Connecticut,70,2012,REP,Y,250.0
Connecticut,70,2016,DEM,H,2450.0
Connecticut,70,2016,DEM,P,7361.0
Connecticut,70,2016,DEM,S,12420.0
Connecticut,70,2016,DEM,Y,7677.0
Connecticut,70,2016,REP,P,286.0
Connecticut,70,2016,REP,Y,250.0
Connecticut,70,2020,DEM,H,4605.0
Connecticut,70,2020,DEM,P,15751.0
Connecticut,70,2020,DEM,S,39657.0
Connecticut,70,2020,DEM,Y,35919.0
Connecticut,70,2020,REP,H,175.0
Connecticut,70,2020,REP,S,1435.0
Connecticut,70,2020,REP,Y,3884.0
Connecticut,70,2024,DEM,H,6895.0
Connecticut,70,2024,DEM,S,15184.0
Connecticut,70,2024,DEM,Y,15512.0
Connecticut,70,2024,REP,Y,2790.0
Cornell,11,2008,DEM,H,6700.0
Cornell,11,2008,DEM,S,2830.0
Cornell,11,2008,DEM,Y,36623.0
Cornell,11,2008,REP,H,500.0
Cornell,11,2008,REP,Y,1550.0
Cornell,11,2012,DEM,H,17900.0
Cornell,11,2012,DEM,S,17900.0
Cornell,11,2012,DEM,Y,48973.0
Cornell,11,2012,REP,H,250.0
